City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
468,azogues,-2.7333,-78.8333,294.12,80,93,2.52,EC,1686343531
469,makokou,0.5738,12.8642,294.1,99,100,0.86,GA,1686343531
470,xixiang,35.1628,112.865,297.98,30,5,2.88,CN,1686343532
471,bharuch,21.7,72.9667,302.94,77,0,5.14,IN,1686343532
472,margate,51.3813,1.3862,290.32,87,11,4.47,GB,1686343256
473,garachico,28.7781,-17.7646,293.21,78,75,2.06,ES,1686343533
474,greymouth,-42.4667,171.2,277.14,70,5,2.7,NZ,1686343533
475,kenai,60.5544,-151.2583,286.2,62,100,3.6,US,1686343534
476,tambura,5.6,27.4667,295.54,84,92,2.72,SS,1686343534
477,belmonte,-15.8631,-38.8828,296.0,92,96,4.01,BR,1686343535
478,neryungri,56.6709,124.6491,284.99,89,11,0.45,RU,1686343535
479,taveta,-3.3963,37.6736,292.73,87,52,1.45,KE,1686343536
480,keetmanshoop,-26.5833,18.1333,285.66,43,0,0.0,NA,1686343536
481,dubove,48.1721,23.8895,287.05,95,90,1.55,UA,1686343536
482,birao,10.2849,22.7882,296.73,87,86,4.34,CF,1686343537
483,fernley,39.608,-119.2518,299.08,29,88,1.34,US,1686343267
484,tubod,8.0555,123.7904,297.65,96,89,1.18,PH,1686343538
485,bykhaw,53.5193,30.2469,286.09,91,44,2.79,BY,1686343538
486,managua,12.1328,-86.2504,299.84,83,40,4.12,NI,1686343284
487,krupki,54.3178,29.1358,284.89,67,41,4.83,BY,1686343539
488,dum duma,27.5667,95.5667,298.3,89,100,0.94,IN,1686343539
489,tshabong,-26.05,22.45,283.13,48,0,3.55,BW,1686343540
490,galesong,-5.3166,119.3661,297.16,84,81,1.71,ID,1686343540
491,sungai penuh,-2.0833,101.3833,290.51,96,68,1.12,ID,1686343540
492,cambria,35.5641,-121.0808,299.01,74,100,4.17,US,1686343541
493,viedma,-40.8135,-62.9967,283.54,24,0,5.54,AR,1686343541
494,ermelo,-26.5333,29.9833,279.67,50,0,2.81,ZA,1686343542
495,blackwell,36.8045,-97.2828,308.16,35,20,2.57,US,1686343542
496,zuyevka,58.405,51.1335,283.91,97,63,4.5,RU,1686343542
497,concepcion,-36.827,-73.0498,285.04,62,40,3.09,CL,1686343513
498,skeldon,5.8833,-57.1333,300.22,82,59,2.7,GY,1686343544
499,orchard homes,46.8633,-114.0484,297.55,51,0,3.09,US,1686343545
500,port macquarie,-31.4333,152.9167,278.65,68,0,2.65,AU,1686343546
501,lucheng,31.2336,117.2806,296.92,89,89,4.04,CN,1686343546
502,sinjai,-5.1241,120.253,297.19,90,100,1.82,ID,1686343547
503,mossel bay,-34.1831,22.146,284.11,80,17,1.62,ZA,1686343547
504,puerto ayacucho,5.6639,-67.6236,301.38,74,50,1.63,VE,1686343548
505,micheweni,-4.9667,39.8333,298.2,83,90,4.48,TZ,1686343548
506,carutapera,-1.195,-46.02,298.47,92,12,3.39,BR,1686343549
507,tolanaro,-25.0319,46.9987,296.19,88,0,6.17,MG,1686343531
508,mount gambier,-37.8333,140.7667,283.57,90,97,2.59,AU,1686343528
509,kutloanong,-27.8333,26.75,281.96,51,0,2.16,ZA,1686343550
510,kem',64.9555,34.5793,278.09,85,98,3.54,RU,1686343550
511,tsiombe,-25.3,45.4833,292.48,89,0,1.39,MG,1686343551
512,lompoc,34.6391,-120.4579,291.95,78,100,2.68,US,1686343551
513,lucapa,-8.4192,20.7447,296.84,44,76,0.75,AO,1686343551
514,siquijor,9.2142,123.515,300.22,82,100,6.98,PH,1686343552
515,forster,-32.1667,152.5167,281.14,100,1,2.52,AU,1686343553
516,argo,37.6333,22.7333,295.81,68,61,1.09,GR,1686343553
517,ende,-8.8432,121.6623,297.77,89,99,1.07,ID,1686343553
518,thinadhoo,0.5333,72.9333,301.32,68,39,1.26,MV,1686343554
519,mwene-ditu,-7.0,23.45,297.37,41,91,1.2,CD,1686343554
520,lhasa,29.65,91.1,286.25,67,85,2.11,CN,1686343554
521,masinloc,15.5333,120.05,292.36,89,93,2.17,PH,1686343555
522,cannonvale,-20.2833,148.7,293.81,89,10,4.64,AU,1686343555
523,sao gabriel da cachoeira,-0.1303,-67.0892,302.18,73,82,1.23,BR,1686343555
524,bueng kan,18.363,103.6519,297.61,95,100,0.31,TH,1686343556
525,mar del plata,-38.0023,-57.5575,284.87,59,0,6.69,AR,1686343556
526,sidi ifni,29.3797,-10.173,296.01,82,6,3.71,MA,1686343557
527,wynyard,-41.0,145.7167,283.14,88,77,6.82,AU,1686343557
528,onguday,50.75,86.15,288.14,82,97,1.73,RU,1686343557
529,santa ana,33.7456,-117.8678,296.76,78,75,3.6,US,1686343439
530,dogondoutchi,13.6393,4.0287,309.31,32,14,4.59,NE,1686343558
531,salalah,17.0151,54.0924,302.2,89,40,1.03,OM,1686343558
532,port augusta,-32.5,137.7667,282.28,75,0,1.15,AU,1686343559
533,el galpon,-25.3807,-64.6526,300.37,47,0,1.56,AR,1686343559
534,sollenau,47.9026,16.2498,290.77,91,56,1.52,AT,1686343560
535,san mariano,7.5,126.0,296.34,92,100,1.45,PH,1686343560
536,opuwo,-18.0607,13.84,289.55,35,3,1.49,NA,1686343560
537,ternate,0.8,127.4,300.05,81,49,1.1,ID,1686343561
538,antonio enes,-16.2325,39.9086,296.31,87,0,4.04,MZ,1686343561
539,as sulayyil,20.4607,45.5779,306.29,11,1,2.97,SA,1686343561
540,mount darwin,-16.7725,31.5838,290.34,49,20,1.81,ZW,1686343562
541,yomju-up,39.8933,124.5981,287.87,85,21,2.31,KP,1686343562
542,tazacorte,28.629,-17.9293,294.69,92,75,2.06,ES,1686343563
543,great bend,38.3645,-98.7648,306.5,38,0,3.6,US,1686343563
544,dauphin,51.1494,-100.0502,295.23,46,0,8.23,CA,1686343341
545,forres,57.6113,-3.6108,288.13,77,0,4.63,GB,1686343564
546,san jose de guanipa,8.8872,-64.1651,303.23,55,100,2.01,VE,1686343565
547,palikir - national government center,6.9248,158.1611,301.02,78,100,6.09,FM,1686343565
548,kerch,45.3583,36.4758,293.72,80,100,5.25,UA,1686343565
549,puerto carreno,6.189,-67.4859,303.14,70,40,2.57,CO,1686343566
550,kayangel,8.0823,134.7173,301.76,75,82,4.94,PW,1686343566
551,northam,51.0333,-4.2167,292.4,79,98,6.61,GB,1686343567
552,jamiltepec,16.2833,-97.8167,305.79,48,61,4.83,MX,1686343567
553,barabinsk,55.3571,78.357,285.66,66,100,3.44,RU,1686343568
554,trevelin,-43.0858,-71.4639,273.86,91,50,2.17,AR,1686343568
555,amos,48.5669,-78.1162,291.36,52,100,1.78,CA,1686343570
556,pinheiro,-2.5214,-45.0825,298.2,90,29,1.61,BR,1686343570
557,bel ombre,-4.6167,55.4167,301.06,74,40,3.6,SC,1686343571
558,murzuq,25.9155,13.9184,303.85,23,0,4.66,LY,1686343571
559,el nido,11.1858,119.3956,300.43,84,100,6.46,PH,1686343572
560,pytalovo,57.0679,27.9138,280.86,68,3,3.06,RU,1686343572
561,saipan,15.1355,145.701,300.73,100,40,0.89,MP,1686343572
562,pathein,16.7833,94.7333,299.01,82,61,2.06,MM,1686343573
563,taltal,-25.4,-70.4833,291.4,76,24,2.09,CL,1686343573
564,colon,9.3592,-79.9014,300.32,61,94,6.71,PA,1686343307
565,yuzhno-kurilsk,44.0306,145.8556,281.96,97,100,4.0,RU,1686343574
566,porto velho,-8.7619,-63.9039,304.18,58,20,2.57,BR,1686343480
567,trairi,-3.2778,-39.2689,299.86,81,3,5.6,BR,1686343575
568,migori,-1.0634,34.4731,290.6,88,97,1.8,KE,1686343576
569,tashtyp,52.7939,89.8983,288.74,83,53,1.3,RU,1686343576
570,saynshand,44.8824,110.1163,288.01,46,2,3.67,MN,1686343577
571,begusarai,25.4167,86.1333,303.71,55,15,4.4,IN,1686343577
572,malvan,16.0667,73.4667,302.28,76,52,6.05,IN,1686343578
573,baise city,23.8997,106.6133,299.53,68,99,1.38,CN,1686343578
574,saint-joseph,-21.3667,55.6167,295.36,80,21,4.11,RE,1686343579
575,glendive,47.1053,-104.7125,299.09,69,20,4.12,US,1686343579
576,baie-comeau,49.2168,-68.1489,283.97,82,40,5.14,CA,1686343579
577,xinqing,48.2333,129.5,286.38,99,100,2.7,CN,1686343580
578,humberto de campos,-2.5983,-43.4611,298.63,88,11,2.36,BR,1686343580
579,cill airne,52.05,-9.5167,287.93,91,96,2.14,IE,1686343581
580,naze,28.3667,129.4833,295.66,88,100,4.39,JP,1686343582
581,arno,60.1167,18.6333,282.47,79,71,2.49,SE,1686343582
582,maracaibo,10.6317,-71.6406,305.62,56,50,0.73,VE,1686343583
583,gorontalo,0.5412,123.0595,296.76,90,91,0.85,ID,1686343583
584,san sebastian de la gomera,28.0916,-17.1133,296.35,68,0,2.57,ES,1686343584
585,aykhal,66.0,111.5,289.77,74,55,1.85,RU,1686343584
586,kamloops,50.6665,-120.3192,301.34,37,100,2.06,CA,1686343585
587,khash,28.2211,61.2158,299.0,29,8,3.82,IR,1686343585
588,humahuaca,-23.2054,-65.3505,292.69,14,0,1.15,AR,1686343585
589,bondo,3.8146,23.6866,293.07,99,46,1.27,CD,1686343586
590,dapa,9.7594,126.0531,301.29,78,100,4.64,PH,1686343586
591,chechelnyk,48.8353,26.6484,292.21,66,98,2.6,UA,1686343587
592,nybro,56.7446,15.9071,283.73,77,0,3.51,SE,1686343587
593,al bayda',32.7627,21.7551,289.67,85,3,1.98,LY,1686343588
594,asbestos,45.7668,-71.9324,289.33,88,93,3.2,CA,1686343588
595,sangueya,10.7,-14.3667,299.75,81,10,1.71,GN,1686343589
